id,label
1,1
2,0
3,0
4,4
5,0
6,7
7,9
8,0
9,0
10,0
11,0
12,0
13,9
14,1
15,0
16,0
17,0
18,0
19,0
20,7
21,0
22,0
23,0
24,7
25,0
26,0
27,0
28,8
29,8
30,0
31,0
32,1
33,9
34,0
35,0
36,0
37,2
38,0
39,0
40,8
41,0
42,9
43,4
44,0
45,0
46,0
47,0
48,8
49,0
50,0
51,1
52,1
53,9
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,9
65,1
66,1
67,1
68,1
69,9
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,9
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,2
102,2
103,2
104,2
105,2
106,2
107,6
108,2
109,1
110,2
111,0
112,2
113,2
114,2
115,5
116,2
117,2
118,2
119,2
120,6
121,4
122,1
123,0
124,4
125,2
126,2
127,2
128,0
129,5
130,4
131,7
132,2
133,2
134,3
135,2
136,2
137,2
138,2
139,0
140,2
141,6
142,4
143,9
144,2
145,0
146,2
147,6
148,2
149,6
150,9
151,5
152,3
153,3
154,5
155,9
156,9
157,3
158,3
159,3
160,6
161,3
162,3
163,2
164,3
165,9
166,3
167,3
168,3
169,3
170,9
171,3
172,5
173,3
174,3
175,5
176,7
177,5
178,9
179,3
180,1
181,2
182,3
183,3
184,5
185,3
186,6
187,5
188,3
189,9
190,6
191,5
192,3
193,3
194,9
195,3
196,3
197,3
198,4
199,5
200,2
201,4
202,4
203,4
204,7
205,4
206,5
207,4
208,6
209,4
210,4
211,4
212,4
213,7
214,4
215,4
216,5
217,6
218,4
219,4
220,4
221,4
222,4
223,4
224,4
225,4
226,3
227,4
228,4
229,4
230,4
231,5
232,4
233,4
234,4
235,6
236,4
237,6
238,6
239,4
240,6
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,7
249,4
250,4
251,5
252,7
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,5
261,4
262,5
263,3
264,5
265,5
266,7
267,3
268,5
269,5
270,5
271,5
272,4
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,5
282,5
283,5
284,0
285,5
286,5
287,5
288,7
289,6
290,5
291,5
292,5
293,5
294,5
295,5
296,7
297,5
298,4
299,1
300,5
301,6
302,6
303,6
304,6
305,6
306,6
307,6
308,6
309,6
310,6
311,6
312,6
313,6
314,6
315,7
316,6
317,6
318,6
319,6
320,6
321,6
322,6
323,6
324,6
325,6
326,6
327,6
328,6
329,6
330,6
331,2
332,3
333,6
334,6
335,6
336,6
337,6
338,2
339,6
340,6
341,6
342,3
343,3
344,6
345,3
346,6
347,6
348,6
349,6
350,6
351,7
352,7
353,7
354,7
355,7
356,7
357,7
358,7
359,7
360,5
361,7
362,6
363,7
364,7
365,7
366,7
367,4
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,7
376,7
377,7
378,7
379,7
380,7
381,7
382,7
383,7
384,7
385,7
386,7
387,7
388,7
389,7
390,7
391,5
392,7
393,7
394,7
395,7
396,7
397,9
398,7
399,7
400,7
401,8
402,8
403,8
404,8
405,8
406,0
407,8
408,8
409,7
410,8
411,8
412,8
413,8
414,8
415,8
416,8
417,8
418,3
419,8
420,8
421,8
422,8
423,0
424,1
425,0
426,8
427,8
428,8
429,9
430,8
431,0
432,8
433,8
434,8
435,8
436,8
437,1
438,8
439,8
440,8
441,8
442,1
443,1
444,8
445,8
446,8
447,0
448,8
449,8
450,9
451,9
452,9
453,9
454,9
455,9
456,9
457,1
458,9
459,7
460,9
461,9
462,9
463,9
464,4
465,9
466,9
467,9
468,2
469,9
470,9
471,9
472,9
473,9
474,9
475,1
476,9
477,9
478,9
479,9
480,9
481,9
482,9
483,9
484,9
485,9
486,9
487,9
488,9
489,9
490,9
491,9
492,9
493,9
494,3
495,9
496,9
497,9
498,9
499,2
500,9
