id,label
1,8
2,8
3,2
4,7
5,8
6,9
7,9
8,0
9,0
10,0
11,0
12,0
13,2
14,9
15,0
16,8
17,9
18,8
19,8
20,3
21,8
22,0
23,0
24,7
25,4
26,4
27,0
28,8
29,8
30,0
31,7
32,1
33,9
34,8
35,0
36,0
37,0
38,0
39,0
40,8
41,0
42,2
43,8
44,0
45,9
46,0
47,3
48,8
49,0
50,9
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,9
65,1
66,1
67,1
68,9
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,9
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,8
97,1
98,1
99,1
100,1
101,2
102,2
103,7
104,2
105,2
106,4
107,4
108,2
109,2
110,2
111,2
112,7
113,4
114,2
115,7
116,2
117,2
118,2
119,2
120,3
121,4
122,7
123,2
124,2
125,2
126,2
127,2
128,0
129,3
130,4
131,7
132,2
133,2
134,3
135,2
136,2
137,2
138,2
139,0
140,2
141,6
142,4
143,7
144,2
145,0
146,2
147,3
148,2
149,9
150,7
151,7
152,3
153,3
154,8
155,9
156,8
157,3
158,3
159,3
160,3
161,3
162,3
163,2
164,3
165,9
166,3
167,3
168,3
169,3
170,4
171,3
172,3
173,3
174,3
175,5
176,3
177,3
178,3
179,3
180,1
181,2
182,3
183,3
184,3
185,3
186,4
187,3
188,3
189,3
190,9
191,3
192,3
193,3
194,1
195,3
196,3
197,3
198,4
199,7
200,6
201,4
202,4
203,4
204,4
205,4
206,5
207,8
208,6
209,4
210,4
211,4
212,4
213,7
214,4
215,4
216,4
217,6
218,4
219,4
220,7
221,4
222,4
223,4
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,3
232,4
233,4
234,4
235,4
236,4
237,4
238,6
239,4
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,4
251,5
252,7
253,8
254,5
255,5
256,3
257,3
258,5
259,3
260,5
261,4
262,3
263,3
264,5
265,5
266,7
267,3
268,5
269,3
270,9
271,5
272,7
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,7
281,5
282,5
283,5
284,3
285,5
286,5
287,5
288,3
289,5
290,5
291,5
292,5
293,5
294,5
295,3
296,7
297,5
298,4
299,9
300,5
301,6
302,6
303,4
304,6
305,6
306,3
307,6
308,6
309,6
310,3
311,6
312,4
313,3
314,6
315,3
316,6
317,2
318,6
319,6
320,4
321,3
322,6
323,6
324,6
325,3
326,6
327,3
328,6
329,6
330,6
331,4
332,3
333,6
334,2
335,3
336,9
337,6
338,2
339,6
340,3
341,3
342,3
343,3
344,6
345,3
346,4
347,6
348,6
349,3
350,6
351,7
352,7
353,7
354,7
355,7
356,7
357,7
358,7
359,7
360,7
361,7
362,2
363,7
364,7
365,7
366,7
367,7
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,7
376,7
377,7
378,7
379,7
380,7
381,7
382,7
383,7
384,7
385,7
386,7
387,7
388,7
389,7
390,7
391,7
392,7
393,7
394,7
395,7
396,7
397,9
398,7
399,7
400,7
401,8
402,8
403,8
404,8
405,8
406,8
407,8
408,8
409,4
410,8
411,8
412,8
413,8
414,8
415,8
416,8
417,8
418,3
419,8
420,8
421,8
422,8
423,9
424,8
425,2
426,8
427,8
428,8
429,1
430,8
431,0
432,8
433,8
434,8
435,8
436,8
437,8
438,8
439,8
440,8
441,8
442,8
443,8
444,8
445,8
446,8
447,8
448,8
449,8
450,8
451,9
452,1
453,9
454,9
455,9
456,9
457,1
458,9
459,9
460,9
461,3
462,1
463,9
464,9
465,9
466,9
467,9
468,2
469,9
470,9
471,9
472,9
473,8
474,9
475,1
476,9
477,9
478,9
479,9
480,9
481,9
482,1
483,9
484,9
485,9
486,9
487,9
488,9
489,9
490,9
491,9
492,9
493,9
494,9
495,9
496,9
497,9
498,9
499,9
500,9
